code,name,country,city
HPH,HAIPHONG,VIETNAM,HPH
HRB,HARBIN,CHINA,HRB
HRE,HARARE,ZIMBABWE,HRE
HRL,HARLINGEN,USA,HRL
HSH,LAS VEGAS,USA,HSH
HSI,HUSLIA,USA,HSI
HTI,HAMILTON ISLAND,AUSTRALIA,HTI
HTN,HOTAN,CHINA,HTN
HTS,HUNTINGTON,USA,HTS
HUF,TERRE HAUTE,USA,HUF
HUN,HUALIEN,TAIWAN,HUN
HUU,HUANUCO,PERU,HUU
HUZ,HUIZHOU,CHINA,HUZ
HVR,HAVRE,USA,HVR
HYN,HUANGYAN,CHINA,HYN
HZG,HANZHONG,CHINA,HZG
IAD,WASHINGTON,USA,WAS
IAH,HOUSTON,USA,IAH
IAS,IASI,ROMANIA,IAS
IBE,IBAGUE,COLOMBIA,IBE
IBR,JONESBORO,USA,IBR
IBZ,IBIZA,SPAIN,IBZ
ICN,SEOUL-INCHEON ,KOREA,SEL
ICT,WICHITA,USA,ICT
IDA,IDAHO FALLS,USA,IDA
IDR,INDORE,INDIA,IDR
IEV,KIEV,UKRAINE,IEV
IFJ,ISAFJORDUR,ICELAND,IFJ
IGM,KINGMAN,USA,IGM
IJK,IZHEVSK,RUSSIA,IJK
IKI,IKI,JAPAN,IKI
IKT,IRKUTSK,RUSSIA,IKT
ILO,ILOILO,PHILIPPINES,ILO
ILY,ISLAY,UK,ILY
IMF,IMPHAL,INDIA,IMF
IMT,IRON MOUNTAIN,USA,IMT
INC,YINCHUAN,CHINA,INC
INN,INNSBRUCK,AUSTRIA,INN
INV,INVERNESS,UK,INV
IOM,ISLE OF MAN,UK,IOM
IOS,IIHEUS,BRAZIL,IOS
IPH,IPOH,MALAYSIA,IPH
IPT,WILLIAMSPORT,USA,IPT
IQM,QIEMO,CHINA,IQM
IQQ,IQUIQUE,CHILE,IQQ
IQT,IQUITOS,PERU,IQT
IRK,KIRKSVILLE,USA,IRK
ISN,WILLISTON,USA,ISN
ISP,LONG ISLAND,USA,ISP
IST,ISTANBUL,TURKEY,IST
ITM,OSAKA ITAMI AIRPORT,JAPAN,OSA
ITO,HILO,USA,ITO
IWD,IRONWOOD,USA,IWD
IXD,ALLAHABAD,INDIA,IXD
IXE,MANGALORE,INDIA,IXE
IXJ,JAMMU,INDIA,IXJ
IXM,MADURAI,INDIA,IXM
IXR,RANCHI,INDIA,IXR
IXS,SILCHAR,INDIA,IXS
IXZ,PORT BLAIR,ANDAMAN IS,IXZ
IZM,IZMIR,TURKEY,IZM
JAC,JACKSON,USA,JAC
JAG,JACOBABAD,PAKISTAN,JAG
JAI,JAIPUR,INDIA,JAI
JAN,JACKSON,USA,JAN
JAX,JACKSONVILLE,USA,JAX
JCA,CANNES,FRANCE,JCA
JDH,JODHPUR,INDIA,JDH
JDO,JUAZEIRO DO NORTE,BRAZIL,JDO
JED,JEDDAH,SAUDI ARABIA,JED
JER,JERSEY,UK,JER
JFK,JOHN F KENNEDY INTL,USA,NYC
JGA,JAMNAGAR,INDIA,JGA
JGC,GRAND CANYON,USA,JGC
JGN,JIAYUGUAN,CHINA,JGN
JHB,JOHOR BAHRU,MALAYSIA,JHB
JHG,JINGHONG,CHINA,JHG
JHW,JAMESTOWN,USA,JHW
JIB,DJIBOUTI,DJIBOUTI,JIB
JIL,JILIN,CHINA,JIL
JIU,JIUJIANG,CHINA,JIU
JKT,JAKARTA,INDONESIA,JKT
JLR,JABALPUR,INDIA,JLR
JMM,MALMO,SWEDEN,JMM
JMS,JAMESTOWN,USA,JMS
JMU,JIAMUSI,CHINA,JMU
JNB,JOHANNESBURG,S AFRICA,JNB
JNU,JUNEAU,USA,JNU
JNZ,JINZHOU,CHINA,JNZ
JOG,YOGYAKARTA,INDONESIA,JOG
JON,JOHNSTON ISLAND,,JON
JOS,JOS,NIGERIA,JOS
JPA,JOAO PESSOA,BRAZIL,JPA
JRO,KILIMANJARO,TANZANIA,JRO
JRS,JERUSALEM,ISRAEL,JRS
JST,JOHNSTOWN,USA,JST
JUL,JULIACA,PERU,JUL
JUM,JUMLA,NEPAL,JUM
JUV,UPERNAVIK,GREENLAND,JUV
JYV,JYVASKYLA,FINLAND,JYV
KAB,KARIBA,ZIMBABWE,KAB
KAD,KADUNA,NIGERIA,KAD
KAN,KANO,NIGERIA,KAN
KAT,KAITAIA,NEW ZEALAND,KAT
KBL,KABUL,AFGHANISTAN,KBL
KBP,KIEV,UKRAINE,KBP
KBR,KOTA BHARU,MALAYSIA,KBR
KBZ,KAIKOURA,NEW ZEALAND,KBZ
KCA,KUQA,CHINA,KCA
KCH,KUCHING,MALAYSIA,KCH
KCZ,KOCHI,JAPAN,KCZ
KDI,KENDARI,INDONESIA,KDI
KEF,REYKJAVIK,ICELAND,KEF
KEL,KIEL,GERMANY,KEL
KEM,KEMI,FINLAND,KEM
KER,KERMAN,IRAN,KER
KET,KENGTUNG,MYANMER,KET
KFA,KIFFA,MAURITANIA,KFA
KGI,KALGOORLIE,AUSTRALIA,KGI
KGL,KIGALI,RWANDA,KGL
KHE,KHERSON,UKRAINE,KHE
KHH,KAOHSIUNG,TAIWAN R.O.C.,KHH
KHI,KARACHI,,KHI
KIN,KINGSTON,JAMAICA,KIN
KIS,KISUMU,KENYA,KIS
KIX,OSAKA KANSAI INTL,JAPAN,OSA
KKC,KHON KAEN,THAILAND,KKC
KKD,KOKODA,PAPUA NEW GUINEA,KKD
KKJ,KITA KYUSHU,JAPAN,KKJ
KKN,KIRKENES,NORWAY,KKN
KMG,KUNMING,P R CHINA,KMG
KMI,MIYAZAKI,JAPAN,KMI
KMJ,KUMAMOTO,JAPAN,KMJ
KMQ,KOMATSU,JAPAN,KMQ
KND,KINDU,ZAIRE,KND
KNH,KINMEN,TAIWAN,KNH
KNS,KING ISLAND,AUSTRALIA,KNS
KNX,KUNUNURRA,AUSTRALIA,KNX
KOE,KUPANG,INDONESIA,KOE
KOI,KIRKWALL,UK,KOI
KOJ,KAGOSHIMA,JAPAN,KOJ
KOK,KOKKOLA,FINLAND,KOK
KOV,KOKSHETAU,KAZAKHSTAN,KOV
KOW,GANZHOU,CHINA,KOW
KPS,KEMPSEY,AUSTRALIA,KPS
KPV,PERRYVILLE,USA,KPV
KRB,KARUMBA,AUSTRALIA,KRB
KRI,KIKORI,PAPUA NEW GUINEA,KRI
KRL,KORLA,CHINA,KRL
KRN,KIRUNA,SWEDEN,KRN
KRO,KURGAN,RUSSIA,KRO
KRY,KARAMAY,CHINA,KRY
KSD,KARLSTAD,SWEDEN,KSD
KSQ,KARSHI,UZBEKISTAN,KSQ
KSZ,KOTLAS,RUSSIA,KSZ
KTM,KATHMANDU,NEPAL,KTM
KTN,KETCHIKAN,USA,KTN
KTR,KATHERINE,AUSTRALIA,KTR
KTW,KATOWICE,POLAND,KTW
KUA,KUANTAN,MALAYSIA,KUA
KUD,KUDAT,MALAYSIA,KUD
KUH,KUSHIRO,JAPAN,KUH
KUI,KARACHI,PAKISTAN,KUI
KUL,KUALA LUMPUR,MALAYSIA,KUL
KUM,YAKUSHIMA,JAPAN,KUM
KUN,KAUNAS,LITHUANIA,KUN
KUO,KUOPIO,FINLAND,KUO
KVD,GYANDZHA,AZERBAIJAN,KVD
KWI,KUWAIT,KUWAIT,KWI
KWL,GUILIN,CHINA,KWL
KZN,KAZAN,RUSSIA,KZN
LAA,LAMAR,USA,LAA
LAD,LUANDA,ANGOLA,LAD
LAF,LAFAYETTE,USA,LAF
LAN,LANSING,USA,LAN
LAO,LAOAG,PHILIPPINES,LAO
LAP,LA PAZ,MEXICO,LAP
LAR,LARAMIE,USA,LAR
LAS,LAS VEGAS,USA,LAS
LAW,LAWTON,USA,LAW
LAX,LOS ANGELES,USA,LAX
LBB,LUBBOCK,USA,LBB
LBF,NORTH PLATTE,USA,LBF
LBL,LIBERAL,USA,LBL
LBV,LIBREVILLE,GABON,LBV
LBX,LUBANG,PHILIPPINES,LBX
LCH,LAKE CHARLES,USA,LCH
LCY,LONDON,UK,LON
LDI,LINDI,TANZANIA,LDI
LDU,LAHAD DAFU,MALAYSIA,LDU
LDY,LONDONDERRY,UK,LDY
LEB,LEBANON,USA,LEB
LED,ST PETERSBURG,RUSSIAN,LED
LEH,LE HAVRE,FRANCE,LEH
LEJ,LEIPZIG,GERMANY,LEJ
LFT,LAFAYETTE,USA,LFT
LFW,LOME,TOGO,LFW
LGA,LA GUARDIA,USA,NYC
LGB,LONG BEACH,USA,LAX
LGH,LEIGH CREEK,AUSTRALIA,LGH
LGK,LANGKAWI,MALAYSIA,LGK
LGP,LEGASPI,PHILIPPINES,LGP
LGW,LONDON GATWICK,UK,LON
LHE,LAHORE,PAKISTAN,LHE
LHR,LONDON HEATHROW,UK,LON
LHW,LANZHOU,CHINA,LHW
LIG,LIMOGES,FRANCE,LIG
LIH,KAUAI ISLAND,USA,LIH
LIL,LILLE,FRANCE,LIL
LIM,LIMA,PERU,LIM
LIN,MILAN,ITALY,MIL
LIR,LIBERIA,COSTA RICA,LIR
LIS,LISBON,PORTUGAL,LIS
LIT,LITTLE ROCK,USA,LIT
LJU,LJUBLJANA,SLOVENIA,LJU
LKO,LUCKNOW,INDIA,LKO
LLA,LULEA,SWEDEN,LLA
LLW,LILONGWE,MALAWI,LLW
LNS,LANCASTER,USA,LNS
LNY,LANAI CITY,USA,LNY
LNZ,LINZ,AUSTRIA,LNZ
LON,LONDON,UK,LON
LOS,LAGOS,NIGERIA,LOS
LPB,LA PAZ,BOLIVIA,LPB
LPL,LIVERPOOL,UK,LPL
LPT,LAMPANG,THAILAND,LPT
LRD,LAREDO,USA,LRD
LRE,LONGREACH,AUSTRALIA,LRE
LRH,LA ROCHELLE,FRANCE,LRH
LRT,LORIENT,FRANCE,LRT
LTN,LONDON,UK,LON
LUD,LUDERITZ,NAMIBIA,LUD
LUN,LUSAKA,ZAMBIA,LUN
LUX,LUXEMBOURG,LUXEMBOURG,LUX
LVI,LIVINGSTONE,ZAMBIA,LVI
LVO,LAVERTON,AUSTRALIA,LVO
LWT,LEWISTOWN,USA,LWT
LXA,LHASA,CHINA,LXA
LXR,LUXOR,EGYPT,LXR
LYA,LUOYANG,CHINA,LYA
LYG,LIANYUNGANG,CHINA,LYG
LYH,LYNCHBURG,USA,LYH
LYS,LYON,FRANCE,LYS
LYU,ELY,USA,LYU
LZH,LIUZHOU,CHINA,LZH
LZO,LUZHOU,CHINA,LZO
MAA,MADRAS,INDIA,MAA
MAD,MADRID,SPAIN,MAD
MAF,MIDLAND,USA,MAF
MAN,MANCHESTER,UK,MAN
MAO,MANAUS,BRAZIL,MAO
MBA,MOMBASA,KENYA,MBA
MBE,MONBETSU,JAPAN,MBE
MBH,MARYBOROUGH,AUSTRALIA,MBH
MBJ,MONTEGO BAY,JAMAICA,MBJ
MBL,MANISTEE,USA,MBL
MBP,MOYOBAMBA,PERU,MBP
MBS,SAGINAW,USA,MBS
MCG,MCGRATH,USA,MCG
MCI,KANSAS CITY,USA,MCI
MCK,MCCOOK,USA,MCK
MCM,MONTE CARLO,MONACO,MCM
MCN,MACON,USA,MCN
MCO,ORLANDO INTL,USA,ORL
MCP,MACAPA,BRAZIL,MCP
MCT,MUSCAT,OMAN,MCT
MCU,MONTLUCON,FRANCE,MCU
MCX,MAKHACHKALA,RUSSIA,MCX
MCZ,MACEIO,BRAZIL,MCZ
MDC,MANADO,INDONESIA,MDC
MDE,MEDELLIN,COLOMBIA,MDE
MDG,MUDAJIANG,CHINA,MDG
MDK,MBANDAKA,ZAIRE,MDK
MDL,MANDALAY,MYANMAR,MDL
MDT,HARRISBURG,USA,MDT
MDW,CHICAGO MIDWAY,USA,CHI
MEI,MERIDIAN,USA,MEI
MEL,MELBOURNE,AUSTRALIA,MEL
MEM,MEMPHIS,USA,MEM
MES,MEDAN,INDONESIA,MES
MEX,MEXICO CITY,MEXICO,MEX
MFM,MACAU,MACAU,MFM
MFR,MEDFORD,USA,MFR
MGD,MAGDALENA,BOLIVIA,MGD
MGM,MONTGOMERY,USA,MGM
MHD,MASHAD,IRAN,MHD
MHE,MITCHELL,USA,MHE
MHT,MANCHESTER,USA,MHT
MIA,MIAMI,USA,MIA
MID,MERIDA,MEXICO,MID
MIE,MUNCIE,USA,MIE
MIL,MILAN,ITALY,MIL
MKC,KANSAS CITY,USA,MKC
MKE,MILWAUKEE,USA,MKE
MKG,MUSKEGON,USA,MKG
MKL,JACKSON,USA,MKL
MKR,MEEKATHARRA,AUSTRALIA,MKR
MKY,MACKAY,AUSTRALIA,MKY
MKZ,MALACCA,MALAYSIA,MKZ
MLB,MELBOURNE,USA,MLB
MLI,MOLINE,USA,MLI
MLL,MARSHALL,USA,MLL
MLM,MORELIA,MEXICO,MLM
MLN,MELILLA,SPAIN,MLN
MLS,MILES CITY,USA,MLS
MLU,MONROE,USA,MLU
MLW,MONROVIA,LIBERIA,MLW
MLX,MALATYA,TURKEY,MLX
MMA,MALMO,SWEDEN,MMA
MMJ,MATSUMOTO,JAPAN,MMJ
MMY,MIYAKO JIMA,JAPAN,MMY
MNI,MONTSERRAT,MONTSERRAT,MNI
MNL,MANILA,PHILIPPINES,MNL
MOF,MAUMERE,INDONESIA,MOF
MOT,MINOT,USA,MOT
MOW,MOSCOW,RUSSIA,MOW
MPB,MIAMI,USA,MIA
MPL,MONTPELLIER,FRANCE,MPL
MPM,MAPUTO,MOZAMBIQUE,MPM
MPW,MARIUPOL,UKRAINE,MPW
MQT,MARQUETTE,USA,MQT
MRS,MARSEILLA,FRANCE,MRS
MRU,MAURITIUS,MAURITUIUS,MRU
MRY,MONTEREY,USA,MRY
MSN,MADISON,USA,MSN
MSO,MISSOULA,USA,MSO
MSQ,MINSK,BELARUS,MSQ
MSY,NEW ORLENS,USA,MSY
MTO,MATTON,USA,MTO
MTR,MONTERIA,COLOMBIA,MTR
MTY,MONTERREY,MEXICO,MTY
MUC,MUNICH,GERMANY,MUC
MWA,MARION,USA,MWA
MWH,MOSES LAKE,USA,MWH
MXP,MILAN,ITALY,MIL
MZG,MAKUNG,TAIWAN,MZG
MZT,MAZATLAN,MEXICO,MZT
NAA,NARRABRI,AUSTRALIA,NAA
NAO,NANCHONG,CHINA,NAO
NAP,NAPLES,ITALY,NAP
NAS,NASSAU,BAHAMAS,NAS
NAY,BEIJING,CHINA,BJS
NBO,NAIROBI,KENYA,NBO
NCE,NICE,FRANCE,NCE
NCL,NEWCASTLE,UK,NCL
NCR,SAN CARLOS,NICARAGUA,NCR
NDG,QIQIHAR,CHINA,NDG
NEH,ENSHI,CHINA,NEH
NGB,NINGBO,CHINA,NGB
NGO,NAGOYA,JAPAN,NGO
NGS,NAGASAKI,JAPAN,NGS
NHA,NHA-TRANG,VIETNAM,NHA
NIM,NIAMEY,NIGER,NIM
NKG,NANJING,CHINA,NKG
NNG,NANNING,CHINA,NNG
NNK,NAKNEK,USA,NNK
NNY,NANYANG,CHINA,NNY
NOU,NOUMEA,NEW CALEDONIA,NOU
NRT,TOKYO NARITA AIRPORT,JAPAN,TYO
NSN,NELSON,NEW ZEALAND,NSN
NTE,NANTES,FRANCE,NTE
NTG,NANTONG,CHINA,NTG
NTL,NEWCASTLE,AUSTRALIA,NTL
NUE,NUREMBERG,GERMANY,NUE
NVA,NEIVA,COLOMBIA,NVA
NVK,NARVIK,NORWAY,NVK
NWI,NORWICH,UK,NWI
NYC,NEW YORK,USA,NYC
NYM,NADYM,RUSSIA,NYM
NYN,NYNGAN,AUSTRALIA,NYN
OAG,ORANGE,USA,OAG
OAJ,JACKSONVILLE,USA,OAJ
OAK,OAKLAND,USA,SFO
OAX,OAXOCA,MEXICO,OAX
OBO,OBIHIRO,JAPAN,OBO
ODE,ODENSE,DENMARK,ODE
OFK,NORFOLK,USA,OFK
OGS,OGDENSBURG,USA,OGS
OGX,OUARGLA,ALGERIA,OGX
OIT,OITA,JAPAN,OIT
OKA,OKINAWA,JAPAN,OKA
OKC,OKLAHOMA CITY,USA,OKC
OKD,SAPPORO OKADAMA,JAPAN,SPK
OKJ,OKAYAMA,JAPAN,OKJ
OMA,OMAHA,USA,OMA
OME,NOME,USA,OME
ONT,ONTARIO,USA,ONT
OOL,GOLD COAST,AUSTRALIA,OOL
ORB,OREBRO,SWEDEN,ORB
ORD,CHICAGO O HARE INTL,USA,CHI
ORF,NORFOLK,USA,ORF
ORH,WORCESTER,USA,ORH
ORL,ORLANDO HERNDON,USA,ORL
ORN,ORAN,ALGERIA,ORN
ORW,ORMARA,PAKISTAN,ORW
ORY,ORLY,,PAR
OSA,OSAKA,JAPAN,OSA
OSD,OSTERSUND,SWEDEN,OSD
OSH,OSHKOSH,USA,OSH
OSI,OSIJEK,CROATIA,OSI
OSK,OSKARSHAMN,SWEDEN,OSK
OSL,OSLO,NORWAY,OSL
OSR,OSTRAVA,CZECH,OSR
OSS,OSH,KYRGYZTAN,OSS
OSW,ORSK,RUSSIA,OSW
OSY,NAMSOS,NORWAY,OSY
OTZ,KOTZEBUE,USA,OTZ
OUA,OUAGADOUGOU,BURKINA FASO,OUA
OUD,OUJDA,MOROCCO,OUD
OUE,OUESSO,CONGO,OUE
OUL,OULU,FINLAND,OUL
OXB,BISSAU,GUINEA-BISSAU,OXB
PAC,PANAMA CITY,PANAMA,PAC
PAR,PARIS,FRANCE,PAR
PAT,PATNA,INDIA,PAT
PBC,PUEBLA,MEXICO,PBC
PBI,PALM BEACH,USA,PBI
PBM,PARAMARIBO,SURINAME,PBM
PDT,PENDLETON,USA,PDT
PDX,PORTLAND,USA,PDX
PEK,PEKING,CHINA,BJS
PEN,PENANG,MALAYSIA,PEN
PER,PERTH,AUSTRALIA,PER
PFN,PANAMA CITY,USA,PFN
PGF,PERPIGNAN,FRANCE,PGF
PGV,GREENVILLE,USA,PGV
PHF,NEWPORT NEWS,USA,PHF
PHL,PHILADELPHIA,USA,PHL
PHX,PHOENIX,USA,PHX
PIA,PEORIA,USA,PIA
PIE,ST PETERSBURG,USA,PIE
PIF,PINGTUNG,TAIWAN,PIF
PIH,POCATELLO,USA,PIH
PIK,GLASGOW,UK,PIK
PIR,PIERRE,USA,PIR
PIS,POITIERS,FRANCE,PIS
PIT,PITTSBURGH,USA,PIT
PLH,PLYMOUTH,UK,PLH
PLO,PORT LINCOLN,AUSTRALIA,PLO
PMF,PARMA,ITALY,PMF
PMI,PALMA DE MALLORCA,SPAIN,PMI
PNH,PHNOM PENH,CAMBODIA,PNH
PNS,PENSACOLA,USA,PNS
POA,PORTO ALEGRE,BRAZIL,POA
POM,PORT MORESBY,PAPUA NEW GUINEA,POM
POU,POUGHKEEPSIE,USA,POU
PRG,PRAGUE,CZECH,PRG
PSA,PISA,ITALY,PSA
PTP,POINTE-A-PITRE,GUADELOUPE,PTP
PTY,PANAMA CITY,PANAMA,PTY
PUB,PUEBLO,USA,PUB
PUF,PAU,FRANCE,PUF
PVD,PROVIDENCE,USA,PVD
PVG,SHANGHAI PU DONG,,SHA
PWK,CHICAGO,USA,CHI
PWM,PORTLAND,USA,PWM
PXU,PLEIKU,VIETNAM,PXU
PZE,PENZANCE,UK,PZE
PZH,ZHOB,PAKISTAN,PZH
PZU,PORT SUDAN,SUDAN,PZU
QRO,QUERETARO,MEXICO,QRO
RAJ,RAJKOT,INDIA,RAJ
RAK,MARRAKECH,MOROCCO,RAK
RAP,RAPID CITY,USA,RAP
RBA,RABAT,MOROCCO,RBA
RCH,RIOHACHA,COLOMBIA,RCH
RDD,REDDING,USA,RDD
RDU,RALEIGH,USA,RDU
REC,RECIFE,BRAZIL,REC
REK,REYKJAVIK,ICELAND,REK
REN,OREBURG,RUSSIA,REN
REX,REYNOSA,MEXICO,REX
RFD,ROCKFORD,USA,RFD
RGA,RIO GRANDE,ARGENTINA,RGA
RGN,YANGON,MYANMAR,RGN
RHE,REIMS,FRANCE,RHE
RHI,RHINELANDER,USA,RHI
RIA,SANTA MARIA,BRAZIL,RIA
RIC,RICHMOND,USA,RIC
RIG,RIO GRANDE,BRAZIL,RIG
RIO,RIO DE JANEIRO,BRAZIL,RIO
RIW,RIVERTON,USA,RIW
RIX,RIGA,LATVIA,RIX
RJK,RIJEKA,CROATIA,RJK
RKV,REYKJAVIK,ICELAND,RKV
RMA,ROMA,AUSTRALIA,RMA
RMI,RIMINI,ITALY,RMI
RMK,RENMARK,AUSTRALIA,RMK
RNN,BORNHOLM,DENMARK,RNN
RNO,RENO,USA,RNO
RNS,RENNES,FRANCE,RNS
ROA,ROANOKE,USA,ROA
ROC,ROCHESTER,USA,ROC
ROK,ROCKHAMPTON,AUSTRALIA,ROK
ROM,ROME,ITALY,ROM
ROS,ROSARIO,ARGENTINA,ROS
ROT,ROTORUA,NEW ZEALAND,ROT
ROV,ROSTOV,RUSSIA,ROV
ROW,ROSWELL,USA,ROW
RPR,RAIPUR,INDIA,RPR
RSA,SANTA ROSA,ARGENTINA,RSA
RSJ,ROSARIO,USA,RSJ
RTA,ROTUMA ISLAND,FIJI,RTA
RTG,RUTENG,INDONESIA,RTG
RTI,ROTI,INDONESIA,RTI
RTM,ROTTERDAM,NETHERLANDS,RTM
RUH,RIYADH,SAUDI ARABIA,RUH
RWI,ROCKY MOUNT,USA,RWI
RXS,ROXAS,PHILIPPINES,RXS
SAC,SACRAMENTO,USA,SAC
SAF,SANTA FE,USA,SAF
SAH,SANAA,YEMEN,SAH
SAL,SAN SALVADOR,EI SALVADOR,SAL
SAN,SAN DIEGO,USA,SAN
SAO,SAO PAULO,BRAZIL,SAO
SAT,SAN ANTONIO,USA,SAT
SAU,SAWU,INDONESIA,SAU
SAV,SAVANNAH,USA,SAV
SBA,SANTA BARBARA,USA,SBA
SBN,SOUTH BEND,USA,SBN
SBP,SAN LUIS,USA,SBP
SBZ,SIBIU,ROMANIA,SBZ
SCC,PRUDHOE BAY,USA,SCC
SCL,SANTIAGO,CHILE,SCL
SCN,SAARBRUCKEN,GERMANY,SCN
SCO,AKTAU,KAZAKHSTAN,SCO
SCT,SOCOTRA,YEMEN,SCT
SCU,SANTIAGO,CUBA,SCU
SCV,SUCEAVA,ROMANIA,SCV
SDF,LOUISVILLE,USA,SDF
SDJ,SENDAI,JAPAN,SDJ
SDK,SANDAKAN,MALAYSIA,SDK
SDL,SUNDSVALL,SWEDEN,SDL
SDQ,SANTO DOMINGO,DOMINICAN REP,SDQ
SDU,RIO DE JANEIRO,BARZIL,SDU
SDZ,SHETLAND ISLAND,UK,SDZ
SEA,SEATTLE,USA,SEA
SEL,SEOUL,KOREA,SEL
SEY,SELIBABY,MAURITANIA,SEY
SFA,SFAX,TUNISIA,SFA
SFG,ST MARTIN,,SFG
SFN,SANTA FE,ARGENTINA,SFN
SFO,SAN FRANCISCO,USA,SFO
SFT,SKELLEFTEA,SWEDEN,SFT
SGN,HO CHI MINH CITY,VIETNAM,SGN
SGO,ST GEORGE,AUSTRALIA,SGO
SGU,ST GEORGE,USA,SGU
SGY,SKAGWAY,USA,SGY
SHA,SHANGHAI,CHINA,SHA
SHD,STAUNTON,USA,SHD
SHE,SHENYANG,CHINA,SHE
SHP,QINHUANGDAO,CHINA,SHP
SHR,SHERIDAN,USA,SHR
SHS,SHASHI,CHINA,SHS
SHV,SHREVEPORT,USA,SHV
SIA,XIAN,CHINA,SIA
SIG,SAN JUAN,PUERTO RICO,SIG
SIN,SINGAPORE,SINGAPORE,SIN
SIP,SIMFEROPOL,UKRAINE,SIP
SIT,SITKA,USA,SIT
SIX,SINGLETON,AUSTRALIA,SIX
SJC,SAN JOSE,USA,SJC
SJJ,SARAJEVO,BOSNIA,SJJ
SJO,SAN JOSE,COSTA RICA,SJO
SJT,SAN ANGELO,USA,SJT
SJU,SAN JUAN,PUERTO RICO,SJU
SKD,SAMARKAND,UZBEKISTAN,SKD
SKO,SOKOTO,NIGERIA,SKO
SKP,SKOPJE,MACEDONIA,SKP
SLA,SALTA,ARGENTINA,SLA
SLC,SALT LAKE CITY,USA,SLC
SLL,SALALAH,OMAN,SLL
SLN,SLN,UNITED STATES,SLN
SLU,ST LUCIA,ST LUCIA,SLU
SLW,SALTILLO,MEXICO,SLW
SLZ,SAO LUIZ,BRAZIL,SLZ
SMF,SACRAMENTO,USA,SMF
SMK,ST MICHAEL,USA,SMK
SMS,STE MARIE,MADAGASCAR,SMS
SMX,SANTA MARIA,USA,SMX
SNA,SANTA ANA,USA,SNA
SNN,SHANNON,IRELAND,SNN
SNO,SAKON NAKHON,THAILAND,SNO
SNP,ST PAUL ISLAND,USA,SNP
SOC,SOLO CITY,INDONESIA,SOC
SOF,SOFIA,BULGARIA,SOF
SOO,SODERHAMN,SWEDEN,SOO
SOQ,SORONG,INDONESIA,SOQ
SOU,SOUTHAMPTON,UK,SOU
SOX,SOGAMOSO,COLOMBIA,SOX
SPD,SAIDPUR,BANGLADESH,SPD
SPI,SPI,UNITED STATES,SPI
SPK,SAPPORO,JAPAN,SPK
SPR,SAN PEDRO,BELIZE,SPR
SPU,SPLIT,CROATIA,SPU
SPW,SPENCER,USA,SPW
SQC,SOUTHERN CROSS,AUSTRALIA,SQC
SQI,STERLING,USA,SQI
SRA,SANTA ROSA,BRAZIL,SRA
SRE,SUCRE,BOLIVIA,SRE
SRG,SEMARANG,INDONESIA,SRG
SRI,SAMARINDA,INDONESIA,SRI
SRN,STRAHAN,AUSTRALIA,SRN
SRQ,SARASOTA,USA,SRQ
SRZ,SANTA CRUZ,BOLIVIA,SRZ
SSA,SALVADOR,BRAZIL,SSA
SSG,MALABO,EQUAT GUINEA,SSG
SSI,BRUNSWICK,USA,SSI
SSM,SAULT SAINTE MARIE,USA,SSM
SSX,SAMSUN,TURKEY,SSX
STD,SANTO DOMINGO,VENEZUELA,STD
STG,ST GEORGE ISLAND,USA,STG
STL,ST LOUIS,USA,STL
STM,SANTAREM,BRAZIL,STM
STN,LONDON,UK,LON
STO,STOCKHOLM,SWEDEN,STO
STR,STUTTGART,GERMANY,STR
STS,SANTA ROSA,USA,STS
SUV,SUVA,FIJI,SUV
SUX,SIOUX CITY,USA,SUX
SVC,SILVER CITY,USA,SVC
SVG,STAVANGER,NORWAY,SVG
SVO,MOSCOW,RUSSIA,MOW
SVZ,SAN ANTONIO,VENEZUELA,SVZ
SWA,SHANTOU,CHINA,SWA
SWD,SEWARD,USA,SWD
SWF,SWF,UNITED STATES,SWF
SWQ,SUMBAWA,INDONESIA,SWQ
SXB,STRASBOURG,FRANCE,SXB
SXE,SALE,AUSTRALIA,SXE
SXF,BERLIN,GERMANY,SXF
SXL,SLIGO,IRELAND,SXL
SXR,SRINAGAR,INDIA,SXR
SYD,SYDNEY,AUSTRALIA,SYD
SYR,SYRACUSE,USA,SYR
SYX,SANYAN,CHINA,SYX
SYY,STORNOWAY,UK,SYY
SYZ,SHIRAZ,IRAN,SYZ
SZG,SALZBURG,AUSTRIA,SZG
SZV,SUZHOU,CHINA,SZV
SZX,SHENZHEN,CHINA,SZX
SZZ,SZCZECIN,POLAND,SZZ
TAB,TOBAGO,TRINIDAD,TAB
TAC,TACLOBAN,PHILIPPINES,TAC
TAG,TAGBILARAN,PHILIPPINES,TAG
TAK,TAKAMATSU,JAPAN,TAK
TAL,TANANA,USA,TAL
TAM,TAMPICO,MEXICO,TAM
TAO,QINGDAO,CHINA,TAO
TAP,TAPACHULA,MEXICO,TAP
TAS,TASHKENT,UZBEKISTAN,TAS
TBO,TABORA,TANZANIA,TBO
TBS,TBILISI,GEORGIA,TBS
TBZ,TABRIZ,IRAN,TBZ
TCO,TUMACO,COLOMBIA,TCO
TCQ,TACNA,PERU,TCQ
TDD,TRINIDAD,BOLIVIA,TDD
TDL,TANDIL,ARGENTINA,TDL
TGU,TEGUCIGALPA,HONDURAS,TGU
THN,TROLLHATTAN,SWEDEN,THN
